Machine;Filtre;NbIter;Temps (s)
RKS;0;1;0,02
RKS;0;2;0,022
RKS;0;3;0,033
RKS;0;4;0,042
RKS;0;5;0,052
RKS;0;6;0,061
RKS;0;7;0,077
RKS;0;8;0,08
RKS;0;9;0,089
RKS;0;10;0,102
RKS;0;20;0,197
RKS;0;30;0,292
RKS;0;40;0,39
RKS;0;50;0,482
RKS;0;60;0,581
RKS;0;70;0,688
RKS;0;80;0,787
RKS;0;90;0,88
RKS;0;100;0,977
RKS;0;200;1,957
RKS;0;300;2,884
RKS;0;400;3,861
RKS;0;500;4,822
RKS;0;600;5,816
RKS;0;700;6,763
RKS;0;800;7,719
RKS;0;900;8,727
RKS;0;1000;9,63
RKS;1;100;1,029
RKS;1;200;2,073
RKS;1;300;3,154
RKS;1;400;4,135
RKS;1;500;5,195
RKS;1;600;6,212
RKS;1;700;7,228
RKS;1;800;8,259
RKS;1;900;9,275
RKS;1;1000;10,252
RKS;2;100;0,67
RKS;2;200;1,333
RKS;2;300;1,989
RKS;2;400;2,621
RKS;2;500;3,296
RKS;2;600;3,961
RKS;2;700;4,641
RKS;2;800;5,29
RKS;2;900;5,94
RKS;2;1000;6,59
RKS;3;100;0,719
RKS;3;200;1,428
RKS;3;300;2,142
RKS;3;400;2,851
RKS;3;500;3,613
RKS;3;600;4,319
RKS;3;700;5,039
RKS;3;800;5,776
RKS;3;900;6,402
RKS;3;1000;7,125
RKS;4;10;2,423
RKS;4;20;4,734
RKS;4;30;7,068
RKS;4;40;9,373
RKS;4;50;11,665
RKS;4;60;13,994
RKS;4;70;16,315
RKS;4;80;18,637
RKS;4;90;20,89
RKS;4;100;23,122
RKS;4;200;49,541
RKS;4;300;69,673
RKS;4;400;93,409
RKS;4;500;115,492
RKS;4;600;138,287
RKS;4;700;160,988
RKS;4;800;184,158
RKS;4;900;207,142
RKS;4;1000;230,618
