Machine;H;W;prof;Temps (s)
RKS;100;100;100;0,001
RKS;100;100;1000;0,007
RKS;100;100;10000;0,041
RKS;200;200;1000;0,018
RKS;300;300;1000;0,04
RKS;400;400;1000;0,054
RKS;500;500;1000;0,075
RKS;600;600;1000;0,105
RKS;700;700;1000;0,144
RKS;800;800;1000;0,186
RKS;900;900;1000;0,236
RKS;1000;1000;1000;0,292
RKS;1200;1200;1000;0,431
RKS;1400;1400;1000;0,572
RKS;1600;1600;1000;0,749
RKS;1800;1800;1000;0,943
RKS;2000;2000;1000;1,165
RKS;3000;3000;1000;2,617
RKS;4000;4000;1000;4,665
RKS;5000;5000;1000;7,276
RKS;1000;1000;10;0,018
RKS;1000;1000;11;0,015
RKS;1000;1000;12;0,012
RKS;1000;1000;13;0,013
RKS;1000;1000;14;0,012
RKS;1000;1000;15;0,015
RKS;1000;1000;16;0,015
RKS;1000;1000;17;0,015
RKS;1000;1000;18;0,014
RKS;1000;1000;19;0,025
RKS;1000;1000;20;0,021
RKS;1000;1000;30;0,028
RKS;1000;1000;40;0,028
RKS;1000;1000;50;0,035
RKS;1000;1000;60;0,033
RKS;1000;1000;70;0,03
RKS;1000;1000;80;0,034
RKS;1000;1000;90;0,037
RKS;1000;1000;100;0,04
RKS;1000;1000;200;0,074
RKS;1000;1000;300;0,097
RKS;1000;1000;400;0,125
RKS;1000;1000;500;0,153
RKS;1000;1000;600;0,181
RKS;1000;1000;700;0,209
RKS;1000;1000;800;0,237
RKS;1000;1000;900;0,264
RKS;1000;1000;1000;0,29
RKS;1000;1000;2000;0,575
RKS;1000;1000;3000;0,851
RKS;1000;1000;4000;1,129
RKS;1000;1000;5000;1,408
RKS;1000;1000;6000;1,687
RKS;1000;1000;7000;1,968
RKS;1000;1000;8000;2,245
RKS;1000;1000;9000;2,532
RKS;1000;1000;10000;2,815
