Machine;Num_proc;H;W;prof;Temps (s)
RKS;2;1000;1000;1000;1,17
RKS;2;1100;1100;1000;1,24
RKS;2;1200;1200;1000;1,23
RKS;2;1300;1300;1000;1,31
RKS;2;1400;1400;1000;1,36
RKS;2;1500;1500;1000;1,36
RKS;2;1600;1600;1000;1,47
RKS;2;1700;1700;1000;1,45
RKS;2;1800;1800;1000;1,59
RKS;2;1900;1900;1000;1,65
RKS;2;2000;2000;1000;1,72
RKS;2;3000;3000;1000;2,34
RKS;2;4000;4000;1000;3,37
RKS;2;5000;5000;1000;4,67
RKS;2;1000;1000;1000;1,2
RKS;2;1000;1000;2000;1,31
RKS;2;1000;1000;3000;1,45
RKS;2;1000;1000;4000;1,59
RKS;2;1000;1000;5000;1,85
RKS;2;1000;1000;6000;1,87
RKS;2;1000;1000;7000;2,01
RKS;2;1000;1000;8000;2,16
RKS;2;1000;1000;9000;2,5
RKS;2;1000;1000;10000;2,43
RKS;4;1000;1000;1000;1,18
RKS;4;5000;5000;1000;5,28
RKS;8;1000;1000;1000;1,17
RKS;8;5000;5000;1000;4,08
RKS;10;1000;1000;1000;1,18
RKS;10;5000;5000;1000;3,72
RKS;20;1000;1000;1000;1,18
RKS;20;5000;5000;1000;2,88
RKS;40;1000;1000;1000;1,31
RKS;40;5000;5000;1000;2,65
RKS;50;1000;1000;1000;1,37
RKS;50;5000;5000;1000;2,61
RKS;100;1000;1000;1000;1,74
RKS;100;5000;5000;1000;2,96
6 RKS;2;1000;1000;1000;0,45
6 RKS;2;1100;1100;1000;0,22
6 RKS;2;1200;1200;1000;0,25
6 RKS;2;1300;1300;1000;0,29
6 RKS;2;1400;1400;1000;0,33
6 RKS;2;1500;1500;1000;0,37
6 RKS;2;1600;1600;1000;0,42
6 RKS;2;1700;1700;1000;0,46
6 RKS;2;1800;1800;1000;0,52
6 RKS;2;1900;1900;1000;0,59
6 RKS;2;2000;2000;1000;0,64
6 RKS;2;3000;3000;1000;1,39
6 RKS;2;4000;4000;1000;2,44
6 RKS;2;5000;5000;1000;3,78
6 RKS;2;1000;1000;1000;0,18
6 RKS;2;1000;1000;2000;0,32
6 RKS;2;1000;1000;3000;0,46
6 RKS;2;1000;1000;4000;0,6
6 RKS;2;1000;1000;5000;0,74
6 RKS;2;1000;1000;6000;0,88
6 RKS;2;1000;1000;7000;1,02
6 RKS;2;1000;1000;8000;1,16
6 RKS;2;1000;1000;9000;1,3
6 RKS;2;1000;1000;10000;1,44
6 RKS;4;1000;1000;1000;0,34
6 RKS;4;5000;5000;1000;3,74
6 RKS;8;1000;1000;1000;1,16
6 RKS;8;5000;5000;1000;4,07
6 RKS;10;1000;1000;1000;1,16
6 RKS;10;5000;5000;1000;3,64
6 RKS;20;1000;1000;1000;1,13
6 RKS;20;5000;5000;1000;2,56
6 RKS;40;1000;1000;1000;1,12
6 RKS;40;5000;5000;1000;1,87
6 RKS;50;1000;1000;1000;1,13
6 RKS;50;5000;5000;1000;1,79
6 RKS;100;1000;1000;1000;1,2
6 RKS;100;5000;5000;1000;1,62
